Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
221,Oakland NCAA,36,24,12,0.667,2.03,-1.22,15,5,10,3,9,7,2751,2634,1465,966,2166,0.446,318,895,0.355,501,667,0.751,383,1292,522,237,100,396,544
222,Ohio,33,20,13,0.606,0.5,-4.57,13,5,12,3,5,7,2551,2309,1335,901,1987,0.453,294,827,0.356,455,623,0.73,333,1153,464,235,118,321,562
223,Ohio State,36,22,14,0.611,13.69,8.42,9,11,15,5,2,8,2718,2528,1456,957,2126,0.45,254,736,0.345,550,717,0.767,394,1335,507,201,166,381,611
224,Oklahoma,32,20,12,0.625,14.67,8.07,8,10,14,4,3,6,2412,2201,1290,835,1797,0.465,239,692,0.345,503,677,0.743,310,1126,427,189,104,399,515
225,Oklahoma State,32,12,20,0.375,6.26,7.97,4,14,10,8,1,9,2272,2327,1295,793,1799,0.441,260,778,0.334,426,611,0.697,294,1078,428,200,92,413,511
226,Old Dominion,32,7,25,0.219,-8.33,-1.56,3,15,5,10,1,12,2268,2464,1290,841,2001,0.42,221,694,0.318,365,551,0.662,320,1134,330,251,123,349,581
227,Omaha,33,15,18,0.455,-7.37,-5.06,7,9,11,3,2,13,2441,2404,1330,845,1873,0.451,206,631,0.326,545,734,0.743,282,1111,336,200,73,326,552
228,Oral Roberts,31,12,19,0.387,-7.41,-2.59,5,11,9,5,2,13,2275,2334,1250,812,1846,0.44,285,790,0.361,366,493,0.742,235,1022,341,175,106,300,534
229,Oregon NCAA,36,24,12,0.667,12.24,8.94,12,8,13,3,6,5,2721,2602,1453,982,2145,0.458,263,778,0.338,494,687,0.719,357,1238,497,258,131,366,591
230,Oregon State,32,13,19,0.406,3.3,8.39,5,15,12,6,1,9,2204,2326,1310,772,1745,0.442,196,597,0.328,464,630,0.737,275,1041,355,192,119,395,593
231,Pacific,32,6,26,0.188,-17.4,-0.14,0,16,5,12,1,13,2071,2553,1290,725,1762,0.411,203,643,0.316,418,650,0.643,209,875,422,195,64,377,551
232,Penn State,33,16,17,0.485,9.26,7.56,9,11,13,4,2,8,2478,2422,1330,854,1951,0.438,255,764,0.334,515,689,0.747,316,1065,417,275,112,366,603
233,Pennsylvania,29,11,18,0.379,-3.32,0.27,3,11,9,6,2,10,2159,2157,1180,781,1721,0.454,275,750,0.367,322,468,0.688,303,1042,428,173,67,323,431
234,Pepperdine,33,13,20,0.394,-2.12,0.72,5,11,9,8,3,8,2403,2443,1320,868,1924,0.451,225,624,0.361,442,628,0.704,334,1115,438,169,90,370,537
235,Pittsburgh,33,22,11,0.667,14.91,6.95,12,8,13,5,7,4,2495,2232,1320,873,1999,0.437,317,887,0.357,432,610,0.708,376,1223,452,208,147,297,510
236,Portland,33,12,21,0.364,-8.19,1.55,5,11,9,6,2,11,2360,2622,1325,826,1891,0.437,292,842,0.347,416,581,0.716,276,1112,446,136,72,394,490
237,Portland State,32,17,15,0.531,-7.14,-4.93,8,10,11,2,5,11,2302,2299,1289,809,1949,0.415,237,730,0.325,447,652,0.686,375,1181,379,226,107,361,579
238,Prairie View,31,10,21,0.323,-15.39,-6.9,5,13,5,6,4,15,2176,2368,1240,770,1831,0.421,149,489,0.305,487,675,0.721,303,952,373,283,87,396,626
239,Presbyterian,33,14,19,0.424,-8.11,-5.55,6,10,8,7,5,9,2469,2413,1330,897,1901,0.472,210,629,0.334,465,701,0.663,312,1099,426,232,106,377,612
240,Princeton,29,24,5,0.828,6.56,-1.59,12,2,12,1,11,3,2235,1932,1160,777,1695,0.458,304,854,0.356,377,468,0.806,244,966,422,173,55,237,392
241,Providence,35,21,14,0.6,12.47,8.84,10,10,14,5,4,7,2534,2407,1415,891,2011,0.443,290,891,0.325,462,640,0.722,321,1257,477,225,161,424,552
242,Purdue NCAA,37,33,4,0.892,25.31,11.2,17,3,16,0,7,3,3088,2566,1495,1063,2163,0.491,307,756,0.406,655,913,0.717,456,1508,699,204,137,417,513
243,Purdue Fort Wayne,36,23,13,0.639,-0.73,-6.08,11,9,11,5,10,8,2886,2577,1450,1043,2231,0.468,340,942,0.361,460,654,0.703,302,1173,490,332,111,375,612
244,Queens (NC),33,14,19,0.424,-8.73,-3.47,7,9,11,3,2,16,2643,2693,1320,928,2095,0.443,294,864,0.34,493,694,0.71,372,1220,435,230,91,377,573
245,Quinnipiac,34,24,10,0.706,-3.08,-7.32,15,5,13,3,10,5,2630,2422,1365,938,2089,0.449,254,723,0.351,500,645,0.775,369,1256,479,260,125,423,552
246,Radford,33,16,17,0.485,-5.64,-3.45,5,11,8,5,4,12,2377,2361,1335,871,1907,0.457,238,655,0.363,397,537,0.739,339,1143,366,183,116,357,561
247,Rhode Island,32,12,20,0.375,-2.26,2.87,6,12,9,8,3,8,2322,2443,1280,826,1800,0.459,209,599,0.349,461,713,0.647,332,1178,408,151,99,403,541
248,Rice,32,11,21,0.344,-3.2,1.99,5,13,6,10,5,7,2304,2421,1295,833,1880,0.443,251,744,0.337,387,557,0.695,330,1134,461,178,117,372,463
